City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,ambalangoda,6.2355,80.0538,25.37,88,100,5.94,LK,1730750976
323,dwarka,22.2394,68.9678,27.76,65,0,3.52,IN,1730750977
324,rundu,-17.9333,19.7667,23.15,60,100,5.92,NA,1730750978
325,ebon,4.582,168.6964,28.04,66,57,1.49,MH,1730750979
326,atafu village,-8.5421,-172.5159,27.58,79,100,9.45,TK,1730750981
327,curup,-3.4667,102.5333,19.86,95,100,0.84,ID,1730750982
328,kapa'a,22.0752,-159.319,28.18,78,40,5.66,US,1730750983
329,namibe,-15.1961,12.1522,20.22,78,48,4.11,AO,1730750984
330,pingnan,23.5543,110.3976,19.64,90,99,1.23,CN,1730750985
331,melekeok village,7.4957,134.6367,24.31,94,75,1.54,PW,1730750986
332,mulanje,-16.0316,35.5,27.19,48,92,2.83,MW,1730750987
333,caconda,-13.7333,15.0667,18.04,82,100,1.15,AO,1730750988
334,jiuquan,39.7432,98.5174,4.65,33,9,2.13,CN,1730750990
335,sao jose da coroa grande,-8.8978,-35.1478,25.83,62,0,4.0,BR,1730750991
336,galich,58.3797,42.3475,-4.82,91,17,1.68,RU,1730750992
337,praia,14.9215,-23.5087,25.3,83,40,7.72,CV,1730750993
338,cubuk,40.2386,33.0322,2.7,56,0,1.03,TR,1730750994
339,partinico,38.0439,13.12,16.83,82,20,1.03,IT,1730750995
340,nagqu,31.5,92.0,-2.49,28,100,0.98,CN,1730750996
341,ibipeba,-11.6408,-42.0111,32.02,28,100,3.84,BR,1730750997
342,lauda-konigshofen,49.5653,9.7042,5.1,95,0,1.72,DE,1730750999
343,suva,-18.1416,178.4415,25.71,83,75,3.09,FJ,1730751000
344,touros,-5.1989,-35.4608,25.97,75,16,6.66,BR,1730751001
345,kuching,1.55,110.3333,25.58,97,40,1.03,MY,1730751003
346,stara syniava,49.6032,27.6191,0.63,67,15,3.51,UA,1730751004
347,balqash,46.8481,74.995,9.37,86,100,3.99,KZ,1730751005
348,kisangani,0.5167,25.2,21.58,94,86,0.89,CD,1730751007
349,llanes,43.4198,-4.7549,18.02,68,100,3.09,ES,1730751008
350,tosontsengel,48.7567,98.2839,-11.14,89,67,0.36,MN,1730751009
351,tlalixtac de cabrera,17.0667,-96.65,29.68,28,40,1.54,MX,1730751010
352,xapuri,-10.6517,-68.5044,33.11,44,100,1.51,BR,1730751011
353,paracuru,-3.41,-39.0306,26.43,73,38,5.49,BR,1730751012
354,dryden,49.7833,-92.7503,8.16,87,100,5.14,CA,1730751013
355,seminole,28.7086,-81.2081,27.42,84,59,0.89,US,1730751016
356,fort bragg,35.139,-79.006,24.26,60,0,2.57,US,1730751017
357,kruisfontein,-34.0033,24.7314,10.6,87,100,4.16,ZA,1730751018
358,boston,42.3584,-71.0598,10.92,60,100,4.63,US,1730750691
359,crane,31.3974,-102.3501,20.06,25,84,13.1,US,1730751020
360,puerto madryn,-42.7692,-65.0385,22.71,16,99,14.42,AR,1730751021
